"TEAM"	"PCT"	"Player"	"Pos"	"Age"	"GP"	"PER"
"659"	"new york knicks"	0.3625	"Dave Budd"	"SF"	23	79	11.6
"666"	"new york knicks"	0.3625	"Doug Kistler"	"F"	23	5	12.1
"685"	"los angeles lakers"	0.675	"Howie Jolliff"	"PF"	23	64	9
"700"	"detroit pistons"	0.4625	"Johnny Egan"	"PG"	23	58	13.8
"734"	"boston celtics"	0.75	"Tom Sanders"	"SF"	23	80	12.4
"758"	"atlanta hawks"	0.6	"Bevo Nordmann"	"C"	23	27	10.5
"809"	"new york knicks"	0.2625	"Jack Foley"	"F"	23	6	12.7
"836"	"washington wizards"	0.3125	"Mel Nowell"	"SG"	23	39	10.5
"866"	"golden state warriors"	0.3875	"Wayne Hightower"	"PF"	23	66	7.8
"892"	"detroit pistons"	0.2875	"Bob Duffy"	"PG"	23	42	10.8
"935"	"new york knicks"	0.275	"Jerry Harkness"	"PG"	23	5	11.9
"936"	"sacramento kings"	0.6875	"Jerry Lucas"	"PF"	23	79	18.9
"944"	"golden state warriors"	0.6	"John Windsor"	"PF"	23	11	12.5
"1041"	"golden state warriors"	0.2125	"Gary Hill"	"SG"	23	9	5.1
"1058"	"philadelphia 76ers"	0.5	"Jerry Greenspan"	"SG"	23	5	15.7
"1131"	"detroit pistons"	0.275	"Bill Buntin"	"C"	23	42	13.3
"1160"	"washington wizards"	0.475	"Gary Bradds"	"SF"	23	3	18
"1239"	"washington wizards"	0.475	"Willie Somerset"	"PG"	23	8	10.2
"1248"	"chicago bulls"	0.407407407407407	"Barry Clemens"	"SF"	23	60	10.4
"1311"	"chicago bulls"	0.407407407407407	"Jim Washington"	"PF"	23	77	11.4
"1340"	"new york knicks"	0.444444444444444	"Neil Johnson"	"PF"	23	51	9.4
"1360"	"atlanta hawks"	0.481481481481481	"Tommy Kron"	"SG"	23	32	8.8
"1408"	"chicago bulls"	0.353658536585366	"Dave Schellhase"	"PG"	23	42	8.3
"1418"	"washington wizards"	0.439024390243902	"Earl Monroe"	"SG"	23	82	19.3
"1445"	"oklahoma city thunder"	0.280487804878049	"Henry Akin"	"C"	23	36	6.5
"1455"	"houston rockets"	0.182926829268293	"Jim Barnett"	"SG"	23	47	11.2
"1467"	"golden state warriors"	0.524390243902439	"Joe Ellis"	"SF"	23	51	10
"1481"	"chicago bulls"	0.353658536585366	"Ken Wilburn"	"SF"	23	3	16.2
"1514"	"washington wizards"	0.439024390243902	"Stan McKenzie"	"SG"	23	50	7.8
"1523"	"atlanta hawks"	0.682926829268293	"Tom Workman"	"F-C"	23	19	19.6
"1579"	"golden state warriors"	0.5	"Dale Schlueter"	"C"	23	31	12.6
"1602"	"phoenix suns"	0.195121951219512	"Ed Biedenbach"	"G"	23	7	2.7
"1673"	"new york knicks"	0.658536585365854	"Mike Riordan"	"SF"	23	54	6.2
"1679"	"sacramento kings"	0.5	"Pat Frink"	"SG"	23	48	7.9
"1730"	"phoenix suns"	0.475609756097561	"Art Harris"	"SG"	23	76	9.5
"1740"	"new york knicks"	0.731707317073171	"Bill Hosket"	"PF"	23	36	16.6
"1749"	"chicago bulls"	0.475609756097561	"Bob Kauffman"	"PF"	23	64	12
"1752"	"detroit pistons"	0.378048780487805	"Bob Quick"	"SF"	23	19	12.2
"1771"	"atlanta hawks"	0.585365853658537	"Dave Newmark"	"C"	23	64	12.7
"1798"	"sacramento kings"	0.439024390243902	"Fred Foster"	"SF"	23	74	12.4
"1814"	"sacramento kings"	0.439024390243902	"Herm Gilliam"	"SG"	23	57	11
"1863"	"washington wizards"	0.609756097560976	"Mike Davis"	"SG"	23	56	12
"1930"	"sacramento kings"	0.402439024390244	"Bob Arnzen"	"SF"	23	55	14.5
"2186"	"milwaukee bucks"	0.768292682926829	"Curtis Perry"	"C"	23	50	8.7
"2199"	"new york knicks"	0.585365853658537	"Dean Meminger"	"SG"	23	78	10.3
"2237"	"atlanta hawks"	0.439024390243902	"George Trapp"	"PF"	23	60	10.2
"2276"	"los angeles lakers"	0.841463414634146	"Jim McMillian"	"SF"	23	80	14.3
"2321"	"new york knicks"	0.585365853658537	"Mike Price"	"SG"	23	6	13.6
"2337"	"oklahoma city thunder"	0.573170731707317	"Pete Cross"	"C"	23	74	12.2
"2349"	"sacramento kings"	0.365853658536585	"Sam Lacey"	"C"	23	81	12.1
"2351"	"sacramento kings"	0.365853658536585	"Sid Catlett"	"SF"	23	9	-1.4
"2425"	"detroit pistons"	0.48780487804878	"Curtis Rowe"	"PF"	23	81	15.6
"2452"	"cleveland cavaliers"	0.390243902439024	"Dwight Davis"	"PF"	23	81	10.9
"2462"	"sacramento kings"	0.439024390243902	"Frank Schade"	"PG"	23	9	5.8
"2485"	"new york knicks"	0.695121951219512	"Henry Bibby"	"PG"	23	55	15.1
"2490"	"philadelphia 76ers"	0.109756097560976	"Jeff Halliburton"	"SG"	23	31	15
"2503"	"los angeles lakers"	0.731707317073171	"Jim Price"	"PG"	23	59	12.7
"2535"	"portland trail blazers"	0.25609756097561	"Larry Steele"	"SG"	23	66	10.2
"2562"	"portland trail blazers"	0.25609756097561	"Ollie Johnson"	"SF"	23	78	13.5
"2576"	"washington wizards"	0.634146341463415	"Rich Rinaldi"	"SG"	23	33	11.4
"2585"	"milwaukee bucks"	0.731707317073171	"Russ Lee"	"SF"	23	46	13.6
"2618"	"portland trail blazers"	0.25609756097561	"William Smith"	"C"	23	8	15.5
"2641"	"detroit pistons"	0.634146341463415	"Bob Nash"	"SF"	23	35	10.5
"2661"	"phoenix suns"	0.365853658536585	"Corky Calhoun"	"SF"	23	77	9.8
"2692"	"houston rockets"	0.390243902439024	"E.C. Coleman"	"PF"	23	58	11.3
"2742"	"new york knicks"	0.597560975609756	"John Gianelli"	"C"	23	70	13
"2748"	"atlanta hawks"	0.426829268292683	"John Tschogl"	"SF"	23	64	7.2
"2765"	"sacramento kings"	0.402439024390244	"Larry McNeill"	"PF"	23	54	20.9
"2784"	"milwaukee bucks"	0.719512195121951	"Mickey Davis"	"SF"	23	73	15.5
"2795"	"sacramento kings"	0.402439024390244	"Nate Williams"	"SF"	23	82	15.5
"2804"	"houston rockets"	0.390243902439024	"Paul McCracken"	"SG"	23	4	6.1
"2845"	"new york knicks"	0.597560975609756	"Tom Riker"	"C"	23	17	19.9
"2859"	"philadelphia 76ers"	0.414634146341463	"Allan Bristow"	"SF"	23	72	14.7
"2863"	"boston celtics"	0.731707317073171	"Ben Clyde"	"SF"	23	25	11.3
"2914"	"new york knicks"	0.48780487804878	"Dennis Bell"	"SF"	23	52	11.2
"2926"	"philadelphia 76ers"	0.414634146341463	"Don Smith"	"SG"	23	54	12.6
"2957"	"houston rockets"	0.5	"Gus Bailey"	"SG"	23	47	11.4
"2961"	"philadelphia 76ers"	0.414634146341463	"Harvey Catchings"	"C"	23	37	12.1
"2971"	"new york knicks"	0.48780487804878	"Jesse Dark"	"SG"	23	47	11
"2975"	"cleveland cavaliers"	0.48780487804878	"Jim Brewer"	"PF"	23	82	14.6
"3012"	"milwaukee bucks"	0.463414634146341	"Kevin Restani"	"PF"	23	76	9.7
"3013"	"boston celtics"	0.731707317073171	"Kevin Stacom"	"SG"	23	61	12
"3022"	"oklahoma city thunder"	0.524390243902439	"Leonard Gray"	"PF"	23	75	12.6
"3060"	"boston celtics"	0.731707317073171	"Phil Hankinson"	"SF"	23	3	16.9
"3099"	"washington wizards"	0.731707317073171	"Tom Kozelko"	"PF"	23	73	6.7
"3140"	"los angeles lakers"	0.48780487804878	"C.J. Kupec"	"SF"	23	16	9.7
"3260"	"phoenix suns"	0.51219512195122	"John Shumate"	"PF"	23	43	19
"3391"	"sacramento kings"	0.48780487804878	"Bob Bigelow"	"SF"	23	29	14.7
"3406"	"oklahoma city thunder"	0.48780487804878	"Bruce Seals"	"PF"	23	81	12.3
"3468"	"los angeles lakers"	0.646341463414634	"Earl Tatum"	"SG"	23	68	16.5
"3474"	"chicago bulls"	0.536585365853659	"Eric Fernsten"	"C"	23	5	10
"3514"	"indiana pacers"	0.439024390243902	"Jerome Anderson"	"SG"	23	27	10.1
"3531"	"washington wizards"	0.585365853658537	"Joe Pace"	"C"	23	30	16.5
"3549"	"milwaukee bucks"	0.365853658536585	"Junior Bridgeman"	"SF"	23	82	14.4
"3555"	"washington wizards"	0.585365853658537	"Kevin Grevey"	"SF"	23	76	9.9
"3619"	"oklahoma city thunder"	0.48780487804878	"Norton Barnhill"	"SG"	23	4	4.7
"3676"	"boston celtics"	0.536585365853659	"Tom Boswell"	"PF"	23	70	13.6
"3735"	"denver nuggets"	0.585365853658537	"Bob Wilkerson"	"SF"	23	81	10
"3778"	"denver nuggets"	0.585365853658537	"David Thompson"	"SG"	23	80	23.2
"3781"	"oklahoma city thunder"	0.573170731707317	"Dennis Johnson"	"SG"	23	81	15.6
"3798"	"brooklyn nets"	0.292682926829268	"Eddie Jordan"	"PG"	23	51	16.6
"3822"	"washington wizards"	0.536585365853659	"Greg Ballard"	"SF"	23	76	14.1
"3879"	"milwaukee bucks"	0.536585365853659	"Kent Benson"	"C"	23	69	13.2
"3930"	"washington wizards"	0.536585365853659	"Mitch Kupchak"	"PF"	23	67	17.7
"3945"	"houston rockets"	0.341463414634146	"Phil Bond"	"SG"	23	7	5.3
"3956"	"milwaukee bucks"	0.536585365853659	"Rich Laurel"	"SG"	23	10	7.5
"3959"	"golden state warriors"	0.524390243902439	"Rickey Green"	"PG"	23	76	9.3
"3960"	"golden state warriors"	0.524390243902439	"Ricky Marsh"	"SG"	23	60	8.4
"3994"	"cleveland cavaliers"	0.524390243902439	"Terry Furlow"	"SG"	23	53	15.5
"3998"	"los angeles lakers"	0.548780487804878	"Tom Abernethy"	"SF"	23	73	15.6
"4012"	"phoenix suns"	0.597560975609756	"Walter Davis"	"SF"	23	81	22.1
"4035"	"phoenix suns"	0.609756097560976	"Alvin Scott"	"SF"	23	81	13.2
"4038"	"denver nuggets"	0.573170731707317	"Anthony Roberts"	"SF"	23	63	11.2
"4043"	"detroit pistons"	0.365853658536585	"Ben Poquette"	"PF"	23	76	13.1
"4048"	"sacramento kings"	0.585365853658537	"Billy McKinney"	"PG"	23	78	15.6
"4054"	"brooklyn nets"	0.451219512195122	"Bob Elliott"	"PF"	23	14	13.6
"4062"	"indiana pacers"	0.463414634146341	"Brad Davis"	"PG"	23	22	12.6
"4073"	"boston celtics"	0.353658536585366	"Cedric Maxwell"	"SF"	23	80	19.9
"4111"	"atlanta hawks"	0.560975609756098	"Eddie Johnson"	"SG"	23	78	16.7
"4115"	"brooklyn nets"	0.451219512195122	"Eric Money"	"PG"	23	47	15.4
"4117"	"milwaukee bucks"	0.463414634146341	"Ernie Grunfeld"	"SF"	23	82	15.2
"4139"	"cleveland cavaliers"	0.365853658536585	"Harry Davis"	"SF"	23	40	10.6
"4147"	"oklahoma city thunder"	0.634146341463415	"Jackie Robinson"	"SF"	23	12	13.6
"4150"	"indiana pacers"	0.463414634146341	"James Edwards"	"C"	23	82	16.9
"4166"	"oklahoma city thunder"	0.634146341463415	"Joe Hassett"	"SG"	23	55	12.3
"4169"	"phoenix suns"	0.609756097560976	"Joel Kramer"	"PF"	23	82	11.3
"4182"	"indiana pacers"	0.463414634146341	"Johnny Davis"	"PG"	23	79	14.7
"4187"	"los angeles lakers"	0.573170731707317	"Kenny Carr"	"PF"	23	72	12.6
"4209"	"oklahoma city thunder"	0.634146341463415	"Lonnie Shelton"	"PF"	23	76	14.9
"4214"	"chicago bulls"	0.378048780487805	"Mark Landsberger"	"PF"	23	80	12.6
"4234"	"cleveland cavaliers"	0.365853658536585	"Mike Mitchell"	"SF"	23	80	16.8
"4241"	"los angeles lakers"	0.573170731707317	"Norm Nixon"	"PG"	23	82	18.2
"4266"	"sacramento kings"	0.585365853658537	"Richard Washington"	"PF"	23	18	5.3
"4304"	"portland trail blazers"	0.548780487804878	"T.R. Dunn"	"SG"	23	80	12.3
"4312"	"new york knicks"	0.378048780487805	"Toby Knight"	"SF"	23	82	15.3
"4320"	"oklahoma city thunder"	0.634146341463415	"Tom LaGarde"	"C"	23	23	15.6
"4324"	"golden state warriors"	0.463414634146341	"Tony Robertson"	"SG"	23	12	10.7
"4325"	"atlanta hawks"	0.560975609756098	"Tree Rollins"	"C"	23	81	17.3
"4354"	"denver nuggets"	0.365853658536585	"Arvid Kramer"	"C"	23	8	6.6
"4358"	"philadelphia 76ers"	0.719512195121951	"Bernard Toone"	"PF"	23	23	8.9
"4386"	"los angeles lakers"	0.731707317073171	"Butch Lee"	"PG"	23	11	12.4
"4391"	"brooklyn nets"	0.414634146341463	"Calvin Natt"	"SF"	23	53	15.9
"4402"	"philadelphia 76ers"	0.719512195121951	"Clint Richardson"	"SG"	23	52	9.9
"4408"	"philadelphia 76ers"	0.719512195121951	"Darryl Dawkins"	"C"	23	80	14.6
"4409"	"washington wizards"	0.475609756097561	"Dave Corzine"	"C"	23	78	10.3
"4424"	"utah jazz"	0.292682926829268	"Duck Williams"	"PG"	23	77	8.6
"4468"	"utah jazz"	0.292682926829268	"James Hardy"	"PF"	23	76	11.8
"4471"	"phoenix suns"	0.670731707317073	"Jeff Cook"	"PF"	23	66	14.4
"4521"	"boston celtics"	0.74390243902439	"Larry Bird"	"PF"	23	82	20.5
"4539"	"san antonio spurs"	0.5	"Mark Olberding"	"SF"	23	75	12.4
"4548"	"los angeles lakers"	0.731707317073171	"Michael Cooper"	"SG"	23	82	12.5
"4568"	"milwaukee bucks"	0.597560975609756	"Pat Cummings"	"C"	23	71	15.3
"4571"	"houston rockets"	0.5	"Paul Mokeski"	"C"	23	12	4.4
"4578"	"sacramento kings"	0.573170731707317	"Phil Ford"	"PG"	23	82	16.5
"4579"	"detroit pistons"	0.195121951219512	"Phil Hubbard"	"PF"	23	64	13.7
"4602"	"washington wizards"	0.475609756097561	"Roger Phegley"	"SG"	23	50	14
"4608"	"indiana pacers"	0.451219512195122	"Ron Carter"	"SG"	23	13	4.2
"4657"	"golden state warriors"	0.292682926829268	"Wayne Cooper"	"PF"	23	79	14.8
"4672"	"philadelphia 76ers"	0.75609756097561	"Andrew Toney"	"SG"	23	75	12.7
"4684"	"cleveland cavaliers"	0.341463414634146	"Bill Laimbeer"	"C"	23	81	14.2
"4694"	"golden state warriors"	0.475609756097561	"Billy Reid"	"SG"	23	59	6.2
"4729"	"atlanta hawks"	0.378048780487805	"Craig Shelton"	"SF"	23	55	8.8
"4782"	"sacramento kings"	0.48780487804878	"Hawkeye Whitney"	"SG"	23	47	14
"4795"	"denver nuggets"	0.451219512195122	"Jawann Oldham"	"C"	23	4	3.3
"4807"	"dallas mavericks"	0.182926829268293	"Jim Spanarkel"	"SF"	23	82	17.3
"4829"	"phoenix suns"	0.695121951219512	"Johnny High"	"PG"	23	81	10.8
"4852"	"new york knicks"	0.609756097560976	"Larry Demic"	"PF"	23	76	10.4
"4855"	"golden state warriors"	0.475609756097561	"Larry Smith"	"PF"	23	82	14.8
"4858"	"houston rockets"	0.48780487804878	"Lee Johnson"	"PF"	23	10	1.5
"4925"	"san antonio spurs"	0.634146341463415	"Reggie Johnson"	"PF"	23	79	12.9
"4927"	"chicago bulls"	0.548780487804878	"Reggie Theus"	"SG"	23	82	18.4
"5006"	"milwaukee bucks"	0.670731707317073	"Alton Lister"	"C"	23	80	11.5
"5081"	"new york knicks"	0.402439024390244	"DeWayne Scales"	"PF"	23	3	1
"5121"	"indiana pacers"	0.426829268292683	"Herb Williams"	"C"	23	82	16.1
"5409"	"boston celtics"	0.682926829268293	"Danny Ainge"	"SG"	23	80	13.2
"5411"	"utah jazz"	0.365853658536585	"Danny Schayes"	"C"	23	50	11.7
"5413"	"portland trail blazers"	0.560975609756098	"Darnell Valentine"	"PG"	23	47	17.3
"5446"	"dallas mavericks"	0.463414634146341	"Elston Turner"	"SF"	23	59	9
"5550"	"chicago bulls"	0.341463414634146	"Larry Spriggs"	"SF"	23	9	15.7
"5555"	"golden state warriors"	0.365853658536585	"Lewis Lloyd"	"SG"	23	73	17.1
"5556"	"portland trail blazers"	0.560975609756098	"Linton Townes"	"SF"	23	55	11.9
"5563"	"los angeles lakers"	0.707317073170732	"Magic Johnson"	"SG"	23	79	23
"5607"	"portland trail blazers"	0.560975609756098	"Pete Verhoeven"	"PF"	23	48	10.9
"5633"	"detroit pistons"	0.451219512195122	"Ricky Pierce"	"SG"	23	39	5.8
"5641"	"dallas mavericks"	0.463414634146341	"Rolando Blackman"	"SG"	23	75	17
"5684"	"chicago bulls"	0.341463414634146	"Tracy Jackson"	"SG"	23	78	11.9
"5756"	"los angeles clippers"	0.365853658536585	"Craig Hodges"	"SG"	23	76	8.7
"5805"	"san antonio spurs"	0.451219512195122	"Fred Roberts"	"PF"	23	79	12.6
"5920"	"washington wizards"	0.426829268292683	"Mike Gibson"	"PF"	23	32	8.6
"5926"	"phoenix suns"	0.5	"Mike Sanders"	"SF"	23	50	10.5
"5986"	"atlanta hawks"	0.48780487804878	"Scott Hastings"	"PF"	23	68	10.3
"5999"	"indiana pacers"	0.317073170731707	"Steve Stipanovich"	"C"	23	81	12.6
"6144"	"boston celtics"	0.768292682926829	"Greg Kite"	"C"	23	55	3.9
"6151"	"dallas mavericks"	0.536585365853659	"Howard Carter"	"SG"	23	11	-7.4
"6159"	"los angeles lakers"	0.75609756097561	"James Worthy"	"SF"	23	80	17
"6271"	"golden state warriors"	0.268292682926829	"Othell Wilson"	"PG"	23	74	10.8
"6317"	"cleveland cavaliers"	0.439024390243902	"Roy Hinson"	"PF"	23	76	16
"6373"	"san antonio spurs"	0.426829268292683	"Alfredrick Hughes"	"SG"	23	68	8.2
"6384"	"phoenix suns"	0.390243902439024	"Bernard Thompson"	"SG"	23	61	11.8
"6410"	"utah jazz"	0.51219512195122	"Carey Scurry"	"SF"	23	78	11.9
"6453"	"dallas mavericks"	0.536585365853659	"Detlef Schrempf"	"SF"	23	64	10.9
"6507"	"los angeles clippers"	0.390243902439024	"Jay Murphy"	"SF"	23	14	8.4
"6520"	"portland trail blazers"	0.48780487804878	"Jerome Kersey"	"SF"	23	79	18.5
"6531"	"atlanta hawks"	0.609756097560976	"John Battle"	"SG"	23	64	11.7
"6535"	"utah jazz"	0.51219512195122	"John Stockton"	"PG"	23	82	17
"6552"	"milwaukee bucks"	0.695121951219512	"Kenny Fields"	"SF"	23	78	13.3
"6558"	"atlanta hawks"	0.609756097560976	"Kevin Willis"	"PF"	23	82	14.1
"6698"	"oklahoma city thunder"	0.378048780487805	"Tim McCormick"	"C"	23	77	13.9
"6750"	"los angeles lakers"	0.792682926829268	"Billy Thompson"	"SF"	23	59	12.8
"6770"	"philadelphia 76ers"	0.548780487804878	"Charles Barkley"	"PF"	23	68	25.1
"6772"	"chicago bulls"	0.48780487804878	"Charles Oakley"	"PF"	23	82	14.2
"6811"	"philadelphia 76ers"	0.548780487804878	"David Wingate"	"SG"	23	77	11.9
"6857"	"sacramento kings"	0.353658536585366	"Harold Pressley"	"SF"	23	67	11.8
"6897"	"san antonio spurs"	0.341463414634146	"Johnny Dawkins"	"PG"	23	81	14.6
"6899"	"cleveland cavaliers"	0.378048780487805	"Johnny Newman"	"SF"	23	59	9.8
"6943"	"denver nuggets"	0.451219512195122	"Mark Alarie"	"PF"	23	64	12.5
"6960"	"chicago bulls"	0.48780487804878	"Michael Jordan"	"SG"	23	82	29.8
"6965"	"chicago bulls"	0.48780487804878	"Mike Brown"	"C"	23	62	9.7
"7020"	"cleveland cavaliers"	0.378048780487805	"Ron Harper"	"SG"	23	82	17.2
"7089"	"houston rockets"	0.560975609756098	"Andre Turner"	"PG"	23	12	10.4
"7185"	"brooklyn nets"	0.231707317073171	"Duane Washington"	"SG"	23	15	16.1
"7266"	"los angeles clippers"	0.207317073170732	"Ken Norman"	"SF"	23	66	11.2
"7359"	"san antonio spurs"	0.378048780487805	"Phil Zevenbergen"	"C"	23	8	13.7
"7450"	"indiana pacers"	0.463414634146341	"Wayman Tisdale"	"PF"	23	79	16.1
"7516"	"brooklyn nets"	0.317073170731707	"Chris Morris"	"SF"	23	76	15
"7584"	"los angeles clippers"	0.25609756097561	"Eric White"	"SF"	23	37	10.5
"7592"	"los angeles clippers"	0.25609756097561	"Gary Grant"	"PG"	23	71	14.1
"7815"	"golden state warriors"	0.524390243902439	"Tellis Frank"	"PF"	23	32	9.4
"7825"	"milwaukee bucks"	0.597560975609756	"Tito Horford"	"C"	23	25	3.6
"7839"	"san antonio spurs"	0.25609756097561	"Vernon Maxwell"	"SG"	23	79	12.1
"7856"	"houston rockets"	0.5	"Adrian Caldwell"	"PF"	23	51	9.5
"7951"	"oklahoma city thunder"	0.5	"Derrick McKey"	"SF"	23	80	15.6
"7972"	"milwaukee bucks"	0.536585365853659	"Frank Kornet"	"PF"	23	57	6.1
"7993"	"sacramento kings"	0.280487804878049	"Henry Turner"	"PF"	23	36	14.2
"8016"	"san antonio spurs"	0.682926829268293	"Jeff Lebo"	"SG"	23	4	5.8
"8062"	"philadelphia 76ers"	0.646341463414634	"Kenny Payne"	"SF"	23	35	10.7
"8085"	"golden state warriors"	0.451219512195122	"Leonard Taylor"	"PF"	23	10	3.8
"8114"	"charlotte hornets"	0.231707317073171	"Micheal Williams"	"PG"	23	22	20
"8217"	"detroit pistons"	0.719512195121951	"Stan Kimbrough"	"PG"	23	10	12.1
"8261"	"sacramento kings"	0.280487804878049	"Vinny Del Negro"	"SG"	23	76	12.6
"8276"	"washington wizards"	0.365853658536585	"A.J. English"	"SG"	23	70	10.6
"8281"	"miami heat"	0.292682926829268	"Alan Ogg"	"C"	23	31	7.4
"8349"	"minnesota timberwolves"	0.353658536585366	"Dan Godfread"	"C"	23	10	20.3
"8366"	"houston rockets"	0.634146341463415	"Dave Jamerson"	"SG"	23	37	12.2
"8415"	"miami heat"	0.292682926829268	"Glen Rice"	"SF"	23	77	14.1
"8505"	"brooklyn nets"	0.317073170731707	"Kurk Lee"	"PG"	23	48	5.6
"8643"	"miami heat"	0.292682926829268	"Terry Davis"	"PF"	23	55	11.7
"8657"	"washington wizards"	0.365853658536585	"Tom Hammonds"	"PF"	23	70	9.6
"8664"	"san antonio spurs"	0.670731707317073	"Tony Massenburg"	"PF"	23	35	16.3
"8701"	"sacramento kings"	0.353658536585366	"Anthony Bonner"	"PF"	23	79	10.9
"8717"	"miami heat"	0.463414634146341	"Bimbo Coles"	"PG"	23	81	14.3
"8809"	"sacramento kings"	0.353658536585366	"Duane Causwell"	"C"	23	80	12.4
"8827"	"oklahoma city thunder"	0.573170731707317	"Gary Payton"	"PG"	23	81	13.1
"8922"	"portland trail blazers"	0.695121951219512	"Lamont Strothers"	"SG"	23	4	6
"8969"	"miami heat"	0.463414634146341	"Miloš Babic"	"C"	23	9	18.3
"9032"	"chicago bulls"	0.817073170731707	"Scott Williams"	"PF"	23	63	14.6
"9048"	"sacramento kings"	0.353658536585366	"Stephen Thompson"	"SG"	23	18	14.6
"9052"	"milwaukee bucks"	0.378048780487805	"Steve Henson"	"PG"	23	50	11.1
"9058"	"brooklyn nets"	0.48780487804878	"Tate George"	"SG"	23	70	11.8
"9097"	"golden state warriors"	0.670731707317073	"Tyrone Hill"	"C"	23	82	12.8
"9103"	"los angeles lakers"	0.524390243902439	"Vlade Divac"	"C"	23	36	15.9
"9158"	"cleveland cavaliers"	0.658536585365854	"Bobby Phills"	"SG"	23	31	14.2
"9185"	"minnesota timberwolves"	0.231707317073171	"Christian Laettner"	"PF"	23	81	17.3
"9193"	"indiana pacers"	0.5	"Dale Davis"	"PF"	23	82	16.3
"9231"	"washington wizards"	0.268292682926829	"Doug Overton"	"PG"	23	45	11.8
"9305"	"golden state warriors"	0.414634146341463	"Joe Courtney"	"PF"	23	7	10.3
"9386"	"minnesota timberwolves"	0.231707317073171	"Marlon Maxey"	"PF"	23	43	15.8
"9509"	"charlotte hornets"	0.536585365853659	"Tony Bennett"	"PG"	23	75	9.3
"9562"	"los angeles lakers"	0.402439024390244	"Antonio Harvey"	"PF"	23	27	8
"9583"	"minnesota timberwolves"	0.24390243902439	"Brian Davis"	"SF"	23	68	9.2
"9636"	"chicago bulls"	0.670731707317073	"Dave Johnson"	"SG"	23	17	5.8
"9644"	"golden state warriors"	0.609756097560976	"Dell Demps"	"PG"	23	2	4.5
"9693"	"los angeles lakers"	0.402439024390244	"George Lynch"	"SF"	23	71	16.1
"9770"	"brooklyn nets"	0.548780487804878	"Kenny Anderson"	"PG"	23	82	18.2
"9796"	"detroit pistons"	0.24390243902439	"Lindsey Hunter"	"PG"	23	82	12
"9798"	"orlando magic"	0.609756097560976	"Litterial Green"	"PG"	23	29	13
"9853"	"phoenix suns"	0.682926829268293	"Oliver Miller"	"C"	23	69	18.2
"9930"	"cleveland cavaliers"	0.573170731707317	"Terrell Brandon"	"PG"	23	73	15
"9983"	"milwaukee bucks"	0.414634146341463	"Aaron Williams"	"PF"	23	15	7
"10000"	"los angeles lakers"	0.585365853658537	"Anthony Miller"	"PF"	23	46	14.7
"10011"	"philadelphia 76ers"	0.292682926829268	"B.J. Tyler"	"PG"	23	55	8.5
"10037"	"golden state warriors"	0.317073170731707	"Carlos Rogers"	"C"	23	49	14.3
"10078"	"minnesota timberwolves"	0.25609756097561	"Darrick Martin"	"PG"	23	34	10.3
"10116"	"golden state warriors"	0.317073170731707	"Dwayne Morton"	"PG"	23	41	11
"10287"	"los angeles lakers"	0.585365853658537	"Nick Van Exel"	"PG"	23	80	16.3
"10506"	"sacramento kings"	0.475609756097561	"Clint McDaniel"	"SG"	23	12	15.6
"10543"	"philadelphia 76ers"	0.219512195121951	"Derrick Alston"	"C"	23	73	11.8
"10557"	"cleveland cavaliers"	0.573170731707317	"Donny Marshall"	"SF"	23	34	10.5
"10661"	"washington wizards"	0.475609756097561	"Jim McIlvaine"	"C"	23	80	9.7
"10680"	"boston celtics"	0.402439024390244	"Junior Burrough"	"PF"	23	61	9
"10719"	"detroit pistons"	0.560975609756098	"Lou Roe"	"SF"	23	49	9
"10774"	"portland trail blazers"	0.536585365853659	"Randolph Childress"	"PG"	23	28	6.7
"10795"	"golden state warriors"	0.439024390243902	"Robert Churchwell"	"SG"	23	4	1.2
"10875"	"indiana pacers"	0.634146341463415	"Travis Best"	"PG"	23	59	11.5
"10897"	"brooklyn nets"	0.365853658536585	"Yinka Dare"	"C"	23	58	6.1
"10959"	"memphis grizzlies"	0.170731707317073	"Bryant Reeves"	"C"	23	75	14.4
"11014"	"denver nuggets"	0.25609756097561	"Darvin Ham"	"SF"	23	35	8.2
"11113"	"utah jazz"	0.780487804878049	"Greg Ostertag"	"C"	23	77	15.3
"11177"	"washington wizards"	0.536585365853659	"Juwan Howard"	"SF"	23	82	16.1
"11390"	"sacramento kings"	0.414634146341463	"Tyus Edney"	"PG"	23	70	12.7
"11561"	"sacramento kings"	0.329268292682927	"Derek Grimm"	"SF"	23	9	7.9
"11576"	"portland trail blazers"	0.560975609756098	"Dontonio Wingfield"	"SF"	23	3	-7.1
"11656"	"orlando magic"	0.5	"Jason Lawson"	"C"	23	17	21.5
"11709"	"denver nuggets"	0.134146341463415	"Kiwane Garris"	"SG"	23	28	8.7
"11730"	"san antonio spurs"	0.682926829268293	"Malik Rose"	"PF"	23	53	10.1
"11937"	"indiana pacers"	0.66	"Austin Croshere"	"PF"	23	27	12.3
"12064"	"atlanta hawks"	0.62	"Ed Gray"	"SG"	23	30	4.8
"12092"	"phoenix suns"	0.54	"Gerald Brown"	"SG"	23	33	7.3
"12118"	"utah jazz"	0.74	"Jacque Vaughn"	"PG"	23	19	13.3
"12132"	"sacramento kings"	0.54	"Jason Williams"	"PG"	23	50	12.8
"12174"	"denver nuggets"	0.28	"Keon Clark"	"C"	23	28	11.3
