"TEAM"	"PCT"	"Player"	"Pos"	"Age"	"GP"	"PER"
"15977"	"milwaukee bucks"	0.341463414634146	"Ersan Ilyasova"	"PF"	19	66	12.1
"16300"	"los angeles clippers"	0.48780487804878	"Yaroslav Korolev"	"SF"	19	10	8
"16584"	"oklahoma city thunder"	0.24390243902439	"Kevin Durant"	"SG"	19	80	15.8
"16773"	"sacramento kings"	0.463414634146341	"Spencer Hawes"	"C"	19	71	11.6
"16792"	"philadelphia 76ers"	0.48780487804878	"Thaddeus Young"	"PF"	19	74	16.5
"16868"	"golden state warriors"	0.353658536585366	"Anthony Randolph"	"PF"	19	63	16.9
"17113"	"utah jazz"	0.585365853658537	"Kosta Koufos"	"C"	19	48	15.2
"17618"	"philadelphia 76ers"	0.329268292682927	"Jrue Holiday"	"PG"	19	73	12.3
"18003"	"brooklyn nets"	0.292682926829268	"Derrick Favors"	"PF"	19	56	12.6
"18393"	"memphis grizzlies"	0.560975609756098	"Xavier Henry"	"SG"	19	38	7
"18439"	"charlotte hornets"	0.106060606060606	"Bismack Biyombo"	"C"	19	63	10.6
"18566"	"utah jazz"	0.545454545454545	"Enes Kanter"	"C"	19	66	14.5
"18713"	"cleveland cavaliers"	0.318181818181818	"Kyrie Irving"	"PG"	19	51	21.4
"18878"	"milwaukee bucks"	0.46969696969697	"Tobias Harris"	"SF"	19	42	14.2
"18931"	"detroit pistons"	0.353658536585366	"Andre Drummond"	"C"	19	60	21.6
"18941"	"new orleans pelicans"	0.329268292682927	"Anthony Davis"	"PF"	19	64	21.7
"18961"	"washington wizards"	0.353658536585366	"Bradley Beal"	"SG"	19	56	13.6
"19276"	"chicago bulls"	0.548780487804878	"Marquis Teague"	"PG"	19	48	6
"19285"	"orlando magic"	0.24390243902439	"Maurice Harkless"	"SF"	19	76	12.5
"19289"	"charlotte hornets"	0.25609756097561	"Michael Kidd-Gilchrist"	"SF"	19	78	14
"19406"	"memphis grizzlies"	0.682926829268293	"Tony Wroten"	"SG"	19	35	9.3
"19478"	"phoenix suns"	0.585365853658537	"Archie Goodwin"	"SG"	19	52	10.3
"20059"	"toronto raptors"	0.597560975609756	"Bruno Caboclo"	"SF"	19	8	-1.8
"20209"	"milwaukee bucks"	0.5	"Jabari Parker"	"PF"	19	25	14.5
"20405"	"charlotte hornets"	0.402439024390244	"Noah Vonleh"	"PF"	19	25	13.2
"20556"	"minnesota timberwolves"	0.195121951219512	"Zach LaVine"	"PG"	19	77	11.3
"20692"	"phoenix suns"	0.280487804878049	"Devin Booker"	"SG"	19	76	11.9
"21232"	"los angeles clippers"	0.621951219512195	"Diamond Stone"	"C"	19	7	-1.2
"21291"	"los angeles lakers"	0.317073170731707	"Ivica Zubac"	"C"	19	38	17
"21844"	"indiana pacers"	0.585365853658537	"Ike Anigbogu"	"C"	19	11	21.6
"22015"	"charlotte hornets"	0.439024390243902	"Malik Monk"	"SG"	19	63	10.3
"22505"	"denver nuggets"	0.658536585365854	"Jarred Vanderbilt"	"PF"	19	17	12.4
"22591"	"new york knicks"	0.207317073170732	"Kevin Knox"	"PF"	19	75	8.7
"22623"	"dallas mavericks"	0.402439024390244	"Luka Doncic"	"SG"	19	72	19.6
"22856"	"philadelphia 76ers"	0.621951219512195	"Zhaire Smith"	"SG"	19	6	9.5
"2993"	"atlanta hawks"	0.378048780487805	"John Drew"	"PF"	20	78	21.4
"6631"	"denver nuggets"	0.573170731707317	"Pete Williams"	"PF"	20	53	11.6
"6896"	"washington wizards"	0.51219512195122	"John Williams"	"SF"	20	78	15.5
"9607"	"golden state warriors"	0.609756097560976	"Chris Webber"	"C"	20	76	21.7
"10105"	"oklahoma city thunder"	0.695121951219512	"Dontonio Wingfield"	"SF"	20	20	14.2
"10666"	"golden state warriors"	0.439024390243902	"Joe Smith"	"PF"	20	82	17.2
"10853"	"boston celtics"	0.402439024390244	"Thomas Hamilton"	"C"	20	11	4.3
"11325"	"dallas mavericks"	0.292682926829268	"Samaki Walker"	"PF"	20	43	12.2
"12048"	"dallas mavericks"	0.38	"Dirk Nowitzki"	"PF"	20	47	12.8
"12182"	"detroit pistons"	0.58	"Korleone Young"	"SF"	20	3	31.3
"12481"	"orlando magic"	0.5	"Corey Maggette"	"SF"	20	77	14.1
"12629"	"philadelphia 76ers"	0.597560975609756	"Jumaine Jones"	"SF"	20	33	12.6
"12650"	"los angeles clippers"	0.182926829268293	"Lamar Odom"	"SF"	20	76	16.8
"12687"	"chicago bulls"	0.207317073170732	"Metta World Peace"	"SF"	20	72	13.4
"12744"	"charlotte hornets"	0.597560975609756	"Ricky Davis"	"SG"	20	48	15.3
"12844"	"minnesota timberwolves"	0.609756097560976	"William Avery"	"PG"	20	59	6.7
"12853"	"indiana pacers"	0.5	"Al Harrington"	"PF"	20	78	10.2
"13065"	"chicago bulls"	0.182926829268293	"Jamal Crawford"	"PG"	20	61	8.5
"13346"	"phoenix suns"	0.439024390243902	"Alton Ford"	"PF"	20	53	10
"13460"	"utah jazz"	0.536585365853659	"DeShawn Stevenson"	"SG"	20	67	8.2
"13722"	"philadelphia 76ers"	0.524390243902439	"Samuel Dalembert"	"C"	20	34	13.2
"13802"	"portland trail blazers"	0.597560975609756	"Zach Randolph"	"PF"	20	41	16.9
"14231"	"san antonio spurs"	0.731707317073171	"Tony Parker"	"PG"	20	82	16.5
"14720"	"milwaukee bucks"	0.5	"T.J. Ford"	"PG"	20	55	12.1
"15269"	"portland trail blazers"	0.329268292682927	"Travis Outlaw"	"SF"	20	59	15.4
"15400"	"golden state warriors"	0.414634146341463	"Chris Taft"	"C"	20	17	15.6
"15453"	"miami heat"	0.634146341463415	"Dorell Wright"	"SF"	20	20	13.2
"15544"	"oklahoma city thunder"	0.426829268292683	"Johan Petro"	"C"	20	68	10.4
"15560"	"atlanta hawks"	0.317073170731707	"Josh Smith"	"SF"	20	80	15.5
"15613"	"houston rockets"	0.414634146341463	"Maciej Lampe"	"C"	20	4	-2.1
"15798"	"los angeles lakers"	0.548780487804878	"Von Wafer"	"SG"	20	16	-1.6
"15836"	"washington wizards"	0.5	"Andray Blatche"	"PF"	20	56	12.1
"16051"	"los angeles lakers"	0.51219512195122	"Jordan Farmar"	"PG"	20	72	10.8
"16174"	"golden state warriors"	0.51219512195122	"Patrick O'Bryant"	"C"	20	16	7.3
"16281"	"chicago bulls"	0.597560975609756	"Tyrus Thomas"	"PF"	20	72	14.8
"16565"	"portland trail blazers"	0.5	"Josh McRoberts"	"PF"	20	8	20.3
"16984"	"sacramento kings"	0.207317073170732	"Donté Greene"	"SF"	20	55	5.2
"17001"	"los angeles clippers"	0.231707317073171	"Eric Gordon"	"SG"	20	78	14.9
"17028"	"cleveland cavaliers"	0.804878048780488	"J.J. Hickson"	"C"	20	62	12.5
"17107"	"minnesota timberwolves"	0.292682926829268	"Kevin Love"	"C"	20	81	18.3
"17178"	"miami heat"	0.524390243902439	"Michael Beasley"	"PF"	20	81	17.2
"17205"	"portland trail blazers"	0.658536585365854	"Nicolas Batum"	"SF"	20	79	12.9
"17245"	"phoenix suns"	0.560975609756098	"Robin Lopez"	"C"	20	60	11.6
"17401"	"milwaukee bucks"	0.560975609756098	"Brandon Jennings"	"PG"	20	82	14.5
"17473"	"san antonio spurs"	0.609756097560976	"DeJuan Blair"	"PF"	20	82	17.7
"17864"	"los angeles clippers"	0.390243902439024	"Al-Farouq Aminu"	"SF"	20	81	9.6
"17902"	"boston celtics"	0.682926829268293	"Avery Bradley"	"PG"	20	31	2.2
"18491"	"san antonio spurs"	0.757575757575758	"Cory Joseph"	"PG"	20	29	6.9
"18682"	"memphis grizzlies"	0.621212121212121	"Josh Selby"	"PG"	20	28	3.3
"18951"	"new orleans pelicans"	0.329268292682927	"Austin Rivers"	"SG"	20	61	5.9
"19077"	"utah jazz"	0.524390243902439	"Enes Kanter"	"C"	20	70	17.6
"19109"	"golden state warriors"	0.573170731707317	"Harrison Barnes"	"SF"	20	81	11
"19186"	"toronto raptors"	0.414634146341463	"Jonas Valanciunas"	"C"	20	62	15.6
"19287"	"portland trail blazers"	0.402439024390244	"Meyers Leonard"	"C"	20	69	12.1
"19444"	"orlando magic"	0.280487804878049	"Adonis Thomas"	"SF"	20	4	5.8
"19474"	"new orleans pelicans"	0.414634146341463	"Anthony Davis"	"PF"	20	67	26.5
"19741"	"detroit pistons"	0.353658536585366	"Kentavious Caldwell-Pope"	"SG"	20	80	9.4
"19848"	"washington wizards"	0.536585365853659	"Otto Porter"	"SF"	20	37	6
"20027"	"phoenix suns"	0.475609756097561	"Archie Goodwin"	"SG"	20	41	11.2
"20145"	"orlando magic"	0.304878048780488	"Elfrid Payton"	"PG"	20	82	13.8
"20292"	"denver nuggets"	0.365853658536585	"Jusuf Nurkic"	"C"	20	62	14.8
"20562"	"orlando magic"	0.426829268292683	"Aaron Gordon"	"PF"	20	78	17
"20650"	"philadelphia 76ers"	0.121951219512195	"Christian Wood"	"PF"	20	17	16.4
"20654"	"portland trail blazers"	0.536585365853659	"Cliff Alexander"	"PF"	20	8	11.6
"20760"	"philadelphia 76ers"	0.121951219512195	"Jahlil Okafor"	"C"	20	53	17.1
"21064"	"utah jazz"	0.48780487804878	"Trey Lyles"	"PF"	20	80	11.6
"21212"	"san antonio spurs"	0.74390243902439	"Dejounte Murray"	"PG"	20	38	9.6
"21231"	"memphis grizzlies"	0.524390243902439	"Deyonta Davis"	"C"	20	36	10.6
"21280"	"detroit pistons"	0.451219512195122	"Henry Ellenson"	"PF"	20	19	7.5
"21427"	"denver nuggets"	0.48780487804878	"Malik Beasley"	"SG"	20	22	13.7
"21670"	"miami heat"	0.536585365853659	"Bam Adebayo"	"C"	20	69	15.7
"21874"	"denver nuggets"	0.560975609756098	"Jamal Murray"	"PG"	20	81	16.1
"21931"	"orlando magic"	0.304878048780488	"Jonathan Isaac"	"PF"	20	27	9.8
"22423"	"new orleans pelicans"	0.402439024390244	"Frank Jackson"	"PG"	20	61	9.4
"22426"	"new york knicks"	0.207317073170732	"Frank Ntilikina"	"PG"	20	43	6
"22434"	"portland trail blazers"	0.646341463414634	"Gary Trent"	"SG"	20	15	3.6
"22516"	"boston celtics"	0.597560975609756	"Jayson Tatum"	"SF"	20	79	15.1
"22618"	"san antonio spurs"	0.585365853658537	"Lonnie Walker"	"SG"	20	17	10.8
"22799"	"atlanta hawks"	0.353658536585366	"Trae Young"	"PG"	20	81	17
"1090"	"atlanta hawks"	0.5625	"Paul Silas"	"PF"	21	79	12.3
"1215"	"golden state warriors"	0.4375	"Rick Barry"	"SF"	21	80	20
"1806"	"atlanta hawks"	0.585365853658537	"Grady O'Malley"	"F"	21	24	8.6
"1868"	"phoenix suns"	0.475609756097561	"Neal Walk"	"C"	21	82	14
"2112"	"oklahoma city thunder"	0.463414634146341	"Spencer Haywood"	"PF"	21	33	18
"2365"	"atlanta hawks"	0.439024390243902	"Tom Payne"	"C"	21	29	15
"3136"	"golden state warriors"	0.719512195121951	"Bubbles Hawkins"	"SG"	21	32	25
"3249"	"atlanta hawks"	0.353658536585366	"John Drew"	"SF"	21	77	25.3
"3639"	"sacramento kings"	0.48780487804878	"Richard Washington"	"PF"	21	82	14.2
"3661"	"golden state warriors"	0.560975609756098	"Sonny Parker"	"SF"	21	65	16.4
"3949"	"washington wizards"	0.536585365853659	"Phil Walker"	"SG"	21	40	9
